x	y	t	f
0.033333	2.166667	999	-0.033335
0.033333	2.183333	999	-0.013608
0.033333	2.200000	999	0.025722
0.033333	2.216667	999	0.010107
0.033333	2.233333	999	-0.085150
0.033333	2.250000	999	0.072294
0.033333	2.266667	999	0.008848
0.033333	2.283333	999	-0.025497
0.033333	2.300000	999	0.016732
0.033333	2.316667	999	0.063938
0.033333	2.333333	999	-0.024698
0.033333	2.350000	999	0.005301
0.033333	2.366667	999	0.074909
0.033333	2.383333	999	-0.026263
0.033333	2.400000	999	-0.031238
0.033333	2.416667	999	0.059112
0.033333	2.433333	999	-0.017470
0.033333	2.450000	999	-0.015714
0.033333	2.466667	999	0.003271
0.033333	2.483333	999	0.038356
0.033333	2.500000	999	-0.095153
0.033333	2.516667	999	0.033966
0.033333	2.533333	999	0.021819
0.033333	2.550000	999	-0.024877
0.033333	2.566667	999	0.007448
0.033333	2.583333	999	0.053697
0.033333	2.600000	999	-0.015702
0.033333	2.616667	999	-0.022365
0.033333	2.633333	999	0.072445
0.033333	2.650000	999	0.016141
0.033333	2.666667	999	-0.041650
0.033333	2.683333	999	0.073233
0.033333	2.700000	999	-0.002855
0.033333	2.716667	999	-0.025323
0.033333	2.733333	999	-0.002023
0.033333	2.750000	999	0.062882
0.033333	2.766667	999	-0.083362
0.033333	2.783333	999	-0.002063
0.033333	2.800000	999	0.036222
0.033333	2.816667	999	-0.020141
0.033333	2.833333	999	-0.021237
0.033333	2.850000	999	0.056939
0.033333	2.866667	999	-0.013356
0.033333	2.883333	999	-0.045066
0.033333	2.900000	999	0.026624
0.033333	2.916667	999	0.052654
0.033333	2.933333	999	0.000565
0.033333	2.950000	999	0.037988
0.033333	2.966667	999	-0.002418
0.033333	2.983333	999	-0.004725
0.033333	3.000000	999	-0.037151
0.033333	3.016667	999	0.028499
0.033333	3.033333	999	0.022288
0.033333	3.050000	999	0.045571
0.033333	3.066667	999	-0.069110
0.033333	3.083333	999	-0.000042
0.033333	3.100000	999	0.018822
0.033333	3.116667	999	-0.021317
0.033333	3.133333	999	-0.014661
0.033333	3.150000	999	0.052739
0.033333	3.166667	999	-0.002880
0.033333	3.183333	999	-0.052785
0.033333	3.200000	999	0.052561
0.033333	3.216667	999	0.036927
0.033333	3.233333	999	-0.047156
0.033333	3.250000	999	-0.026426
0.033333	3.266667	999	-0.014793
0.033333	3.283333	999	0.062073
0.033333	3.300000	999	0.008507
0.033333	3.316667	999	-0.016562
0.033333	3.333333	999	-0.035361
0.033333	3.350000	999	0.041588
0.033333	3.366667	999	-0.011433
0.033333	3.383333	999	-0.011717
0.033333	3.400000	999	0.030730
0.033333	3.416667	999	-0.018631
0.033333	3.433333	999	0.027770
0.033333	3.450000	999	0.016362
0.033333	3.466667	999	-0.000561
0.033333	3.483333	999	-0.054145
0.033333	3.500000	999	0.003243
0.033333	3.516667	999	-0.026887
0.033333	3.533333	999	0.002772
0.033333	3.550000	999	-0.015857
0.033333	3.566667	999	-0.033180
0.033333	3.583333	999	0.027546
0.033333	3.600000	999	-0.000905
0.033333	3.616667	999	-0.036232
0.033333	3.633333	999	-0.011623
0.033333	3.650000	999	0.013885
0.033333	3.666667	999	0.017972
0.033333	3.683333	999	-0.011289
0.033333	3.700000	999	0.021390
0.033333	3.716667	999	-0.008540
0.033333	3.733333	999	0.046539
0.033333	3.750000	999	-0.046974
0.033333	3.766667	999	-0.025940
0.033333	3.783333	999	-0.006087
0.033333	3.800000	999	0.009383
0.033333	3.816667	999	-0.021281
0.033333	3.833333	999	0.001115
0.033333	3.850000	999	-0.012887
0.033333	3.866667	999	0.039332
0.033333	3.883333	999	-0.001183
0.033333	3.900000	999	-0.038734
0.033333	3.916667	999	-0.007355
0.033333	3.933333	999	-0.012254
0.033333	3.950000	999	0.025167
0.033333	3.966667	999	-0.034968
0.033333	3.983333	999	-0.009311
0.033333	4.000000	999	-0.008149
0.033333	4.016667	999	0.022091
0.033333	4.033333	999	0.006138
0.033333	4.050000	999	-0.038035
0.033333	4.066667	999	-0.009238
0.033333	4.083333	999	0.013449
0.033333	4.100000	999	0.029786
0.033333	4.116667	999	0.035279
0.033333	4.133333	999	-0.019063
0.033333	4.150000	999	0.023114
0.033333	4.166667	999	0.021582
0.033333	4.183333	999	0.028257
0.033333	4.200000	999	0.005343
0.033333	4.216667	999	-0.040032
0.033333	4.233333	999	-0.017078
0.033333	4.250000	999	0.017016
0.033333	4.266667	999	0.019248
0.033333	4.283333	999	0.049453
0.033333	4.300000	999	-0.027959
0.033333	4.316667	999	0.012627
0.033333	4.333333	999	0.001453
0.033333	4.350000	999	0.012120
0.033333	4.366667	999	0.038189
0.033333	4.383333	999	-0.043760
0.033333	4.400000	999	-0.020303
0.033333	4.416667	999	-0.037240
0.033333	4.433333	999	-0.015635
0.033333	4.450000	999	0.041358
0.033333	4.466667	999	0.015049
0.033333	4.483333	999	0.001116
0.033333	4.500000	999	0.004410
0.033333	4.516667	999	-0.061188
0.033333	4.533333	999	0.018174
0.033333	4.550000	999	-0.010924
0.033333	4.566667	999	0.018755
0.033333	4.583333	999	0.032571
0.033333	4.600000	999	-0.023307
0.033333	4.616667	999	-0.004073
0.033333	4.633333	999	-0.025164
0.033333	4.650000	999	-0.029810
0.033333	4.666667	999	0.017498
0.033333	4.683333	999	0.002401
0.033333	4.700000	999	0.023900
0.033333	4.716667	999	0.034784
0.033333	4.733333	999	-0.007884
0.033333	4.750000	999	0.020477
0.033333	4.766667	999	-0.020347
0.033333	4.783333	999	-0.015013
0.033333	4.800000	999	-0.009626
0.033333	4.816667	999	-0.024029
0.033333	4.833333	999	-0.008350
0.033333	4.850000	999	-0.002948
0.033333	4.866667	999	-0.013848
0.033333	4.883333	999	0.013537
0.033333	4.900000	999	-0.003719
0.033333	4.916667	999	0.008012
0.033333	4.933333	999	0.012750
0.033333	4.950000	999	-0.001651
0.033333	4.966667	999	0.009234
0.050000	0.016667	999	-0.001777
0.050000	0.033333	999	-0.005829
0.050000	0.050000	999	-0.003480
0.050000	0.066667	999	0.002074
0.050000	0.083333	999	-0.001216
0.050000	0.100000	999	0.015904
0.050000	0.116667	999	0.002152
0.050000	0.133333	999	0.013999
0.050000	0.150000	999	-0.002275
0.050000	0.166667	999	-0.008545
0.050000	0.183333	999	-0.019273
0.050000	0.200000	999	-0.026678
0.050000	0.216667	999	-0.031689
0.050000	0.233333	999	-0.014056
0.050000	0.250000	999	-0.011450
0.050000	0.266667	999	0.017619
0.050000	0.283333	999	0.029117
0.050000	0.300000	999	0.024955
0.050000	0.316667	999	0.031561
0.050000	0.333333	999	-0.005524
0.050000	0.350000	999	-0.012415
0.050000	0.366667	999	-0.023833
0.050000	0.383333	999	-0.022689
0.050000	0.400000	999	0.002513
0.050000	0.416667	999	0.022666
0.050000	0.433333	999	0.015080
0.050000	0.450000	999	0.029521
0.050000	0.466667	999	-0.014920
0.050000	0.483333	999	-0.010985
0.050000	0.500000	999	-0.006837
0.050000	0.516667	999	-0.004146
0.050000	0.533333	999	0.030653
0.050000	0.550000	999	0.018855
0.050000	0.566667	999	0.001802
0.050000	0.583333	999	0.001158
0.050000	0.600000	999	-0.018482
0.050000	0.616667	999	0.000974
0.050000	0.633333	999	0.021492
0.050000	0.650000	999	-0.005062
0.050000	0.666667	999	0.004593
0.050000	0.683333	999	-0.026778
0.050000	0.700000	999	-0.022762
0.050000	0.716667	999	0.002294
0.050000	0.733333	999	0.001517
0.050000	0.750000	999	0.003083
0.050000	0.766667	999	0.000577
0.050000	0.783333	999	-0.017494
0.050000	0.800000	999	-0.002647
0.050000	0.816667	999	-0.000554
0.050000	0.833333	999	-0.014863
0.050000	0.850000	999	-0.017159
0.050000	0.866667	999	-0.019895
0.050000	0.883333	999	-0.020108
0.050000	0.900000	999	0.006581
0.050000	0.916667	999	0.003432
0.050000	0.933333	999	0.000116
0.050000	0.950000	999	0.012552
0.050000	0.966667	999	0.004747
0.050000	0.983333	999	0.002385
0.050000	1.000000	999	0.017218
0.050000	1.016667	999	-0.013190
0.050000	1.033333	999	0.005458
0.050000	1.050000	999	0.007645
0.050000	1.066667	999	-0.006084
0.050000	1.083333	999	0.018674
0.050000	1.100000	999	0.001300
0.050000	1.116667	999	-0.001194
0.050000	1.133333	999	0.005797
0.050000	1.150000	999	0.002413
0.050000	1.166667	999	-0.004225
0.050000	1.183333	999	0.017260
0.050000	1.200000	999	-0.007563
0.050000	1.216667	999	0.011918
0.050000	1.233333	999	0.011848
0.050000	1.250000	999	0.001146
0.050000	1.266667	999	-0.010201
0.050000	1.283333	999	0.000070
0.050000	1.300000	999	-0.013780
0.050000	1.316667	999	-0.000901
0.050000	1.333333	999	0.001682
0.050000	1.350000	999	-0.009262
0.050000	1.366667	999	0.023509
0.050000	1.383333	999	0.017655
0.050000	1.400000	999	-0.001423
0.050000	1.416667	999	0.016112
0.050000	1.433333	999	0.011687
0.050000	1.450000	999	0.009087
0.050000	1.466667	999	0.005269
0.050000	1.483333	999	0.005115
0.050000	1.500000	999	0.010172
0.050000	1.516667	999	0.021427
0.050000	1.533333	999	-0.016885
0.050000	1.550000	999	-0.015420
0.050000	1.566667	999	0.012440
0.050000	1.583333	999	-0.002978
0.050000	1.600000	999	-0.020919
0.050000	1.616667	999	-0.008956
0.050000	1.633333	999	0.018353
0.050000	1.650000	999	0.011235
0.050000	1.666667	999	0.001833
0.050000	1.683333	999	-0.029064
0.050000	1.700000	999	0.012961
0.050000	1.716667	999	0.013940
0.050000	1.733333	999	-0.013792
0.050000	1.750000	999	-0.013433
0.050000	1.766667	999	0.012455
0.050000	1.783333	999	0.008854
0.050000	1.800000	999	-0.008909
0.050000	1.816667	999	-0.004508
0.050000	1.833333	999	-0.003574
0.050000	1.850000	999	-0.002509
0.050000	1.866667	999	0.005848
0.050000	1.883333	999	-0.005920
0.050000	1.900000	999	0.018328
0.050000	1.916667	999	0.000594
0.050000	1.933333	999	-0.002947
0.050000	1.950000	999	-0.011772
0.050000	1.966667	999	0.003565
0.050000	1.983333	999	-0.015286
0.050000	2.000000	999	-0.008255
0.050000	2.016667	999	-0.002575
0.050000	2.033333	999	-0.005838
0.050000	2.050000	999	-0.016157
0.050000	2.066667	999	-0.011307
0.050000	2.083333	999	-0.012297
0.050000	2.100000	999	-0.004746
0.050000	2.116667	999	-0.002030
0.050000	2.133333	999	0.005576
0.050000	2.150000	999	0.003358
0.050000	2.166667	999	0.006952
0.050000	2.183333	999	-0.003916
0.050000	2.200000	999	0.006941
0.050000	2.216667	999	-0.000367
0.050000	2.233333	999	0.004616
0.050000	2.250000	999	-0.007699
0.050000	2.266667	999	0.002517
0.050000	2.283333	999	-0.013215
0.050000	2.300000	999	-0.012246
0.050000	2.316667	999	-0.014044
0.050000	2.333333	999	-0.014173
0.050000	2.350000	999	-0.014814
0.050000	2.366667	999	-0.011952
0.050000	2.383333	999	-0.004910
0.050000	2.400000	999	-0.005261
0.050000	2.416667	999	-0.005861
0.050000	2.433333	999	0.003079
0.050000	2.450000	999	-0.003624
0.050000	2.466667	999	0.008800
0.050000	2.483333	999	-0.000032
0.050000	2.500000	999	0.013836
0.050000	2.516667	999	-0.000852
0.050000	2.533333	999	0.002045
0.050000	2.550000	999	-0.006098
0.050000	2.566667	999	-0.006554
0.050000	2.583333	999	-0.009678
0.050000	2.600000	999	-0.012463
0.050000	2.616667	999	-0.008844
0.050000	2.633333	999	-0.013165
0.050000	2.650000	999	-0.016850
0.050000	2.666667	999	-0.009403
0.050000	2.683333	999	-0.012547
0.050000	2.700000	999	-0.004536
0.050000	2.716667	999	-0.008377
0.050000	2.733333	999	0.009220
0.050000	2.750000	999	-0.001917
0.050000	2.766667	999	0.007559
0.050000	2.783333	999	0.003072
0.050000	2.800000	999	0.005443
0.050000	2.816667	999	-0.004786
0.050000	2.833333	999	0.002075
0.050000	2.850000	999	-0.001077
0.050000	2.866667	999	-0.000614
0.050000	2.883333	999	-0.007177
0.050000	2.900000	999	-0.009785
0.050000	2.916667	999	-0.015321
0.050000	2.933333	999	-0.012937
0.050000	2.950000	999	-0.016137
0.050000	2.966667	999	-0.002980
0.050000	2.983333	999	-0.000655
0.050000	3.000000	999	-0.002036
0.050000	3.016667	999	-0.013188
0.050000	3.033333	999	0.009801
0.050000	3.050000	999	-0.010234
0.050000	3.066667	999	-0.000528
0.050000	3.083333	999	0.001985
0.050000	3.100000	999	0.015324
0.050000	3.116667	999	-0.004265
0.050000	3.133333	999	-0.000395
0.050000	3.150000	999	-0.001174
0.050000	3.166667	999	-0.008388
0.050000	3.183333	999	-0.004691
0.050000	3.200000	999	-0.008712
0.050000	3.216667	999	0.006695
0.050000	3.233333	999	0.017182
0.050000	3.250000	999	-0.016563
0.050000	3.266667	999	-0.008741
0.050000	3.283333	999	0.011444
0.050000	3.300000	999	0.013956
0.050000	3.316667	999	-0.030215
0.050000	3.333333	999	-0.002102
0.050000	3.350000	999	0.010927
